plz,einwohner,Landkreis,AnzahlFall,AnzahlTodesfall,landkreis_einwohner,Fälle pro 100K,Einträge rot,Einträge gelb,Einträge grün,Prognose,Wachstum,AnzahlImmun,AnzahlAktiv,Erster Fall
01067,11957,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01069,25491,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01097,14811,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01099,28021,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01108,5876,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01109,20010,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01127,15089,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01129,18915,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01139,17555,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01156,11317,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01157,20684,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01159,27666,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01169,19091,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01187,16423,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01189,9741,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01217,17501,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01219,20916,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01237,15536,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01239,15134,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01257,16277,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01259,18995,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01277,31798,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01279,21201,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01307,23815,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01309,32890,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01324,8874,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
01326,10802,Dresden,82.0,0.0,512829,15.989735369879629,0,0,0,108.88579098124825,1.32787549977132,2.0,82.0,2020-03-07
